"CGFS","NS.IBTS","Year","pond_ave"
9320.09259259259,927.2890625,1992,2941.56190972222
1948.66101694915,844.587301587302,1993,1109.56499327415
7609.275,963.535353535354,1994,2558.51286868687
8309.08974358974,1370.10714285714,1995,3035.46296703297
4163.83333333333,1455.21848739496,1996,2105.28605042017
4067.36363636364,444.139240506329,1997,1313.71309551208
2615.33333333333,261.801886792453,1998,826.649433962264
3001.04651162791,300.720930232558,1999,948.799069767442
484.046511627907,841.503703703704,2000,755.713977605512
3126.10526315789,533.007936507937,2001,1155.35129490393
1185.6,779.254098360656,2002,876.777114754098
1040.90697674419,463.829268292683,2003,602.327918321044
2171.7875,283.224,2004,736.47924
3945.16494845361,542.48031496063,2005,1359.12462699894
5108.66666666667,344.299212598425,2006,1487.7474015748
2770.65882352941,56.0338983050847,2007,707.543880358923
738.711111111111,201.936507936508,2008,330.762412698413
329.955056179775,95.7345132743363,2009,151.947443571642
1132.92207792208,165.917431192661,2010,397.998546407721
1483.6043956044,163.675438596491,2011,480.458388278388
389.3,299.660714285714,2012,321.174142857143
493.573170731707,135.254901960784,2013,221.251286465806
2561.95652173913,61.4553571428571,2014,661.575636645963
3644.88888888889,423.050420168067,2015,1196.29165266106
6315.12328767123,136.539682539683,2016,1619.39974777125
1114.81818181818,25.6140350877193,2017,287.02303030303
