"length_class","27.7.d","27.4.c"
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0.00133088453883031,0.000513542105317215
17,0.00989796612895891,0.00318396105296673
18,0.0812841302165644,0.0409875928227355
19,0.163051678166932,0.127077277816008
20,0.104741903221223,0.172376570154987
21,0.105454509913831,0.125437281102678
22,0.126207602524774,0.151717926727812
23,0.101961540053475,0.127126321087066
24,0.0764177306628646,0.0973435750747204
25,0.0842049304186743,0.0770734262502182
26,0.0561510977431478,0.0309636360835225
27,0.0511673434153473,0.0233628277682487
28,0.020894529547976,0.0219116861641486
29,0.00940830956581114,0.000924375789570987
30,0.00378225156140083,0
31,0.00208393799865481,0
32,0.00174819603122857,0
33,0.000211458290306418,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
