"length_class","27.7.d","27.4.a","27.4.b","27.4.c"
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,7.93902910617506e-05,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0.00207876670644987,0,0,0
13,0.00505545866656994,0,0,0
14,0.0130142872514877,0,0,0
15,0.0175219821968507,0,0,0
16,0.0176483917045541,0,0,0
17,0.035656761201722,0,0,0
18,0.0316636401553129,0,0,0.052245377164661
19,0.0535033767682547,0,0,0.133842089815087
20,0.102103111210467,0,0.0237154150727331,0.113883181684767
21,0.0985965268772711,0,0.0474308300004743,0.231435280305254
22,0.106059809149682,0,0.0237154150727331,0.108306427942471
23,0.0897837680582082,0,0.118577075073682,0.118579395362489
24,0.0997898321432935,0,0.0711462450732075,0.133842089815087
25,0.100127537886211,0,0.0474308300004743,0.0689756383915468
26,0.0741914302113089,0,0.118577075073682,0.0259759319049017
27,0.0472754026864865,0,0.0711462450732075,0.00645729380686821
28,0.0408847991434107,0,0.0237154150727331,0.00645729380686821
29,0.0228897461347677,0,0,0
30,0.023286140181709,0,0,0
31,0.0136017837801697,0.000107496745712512,0,0
32,0.00399760540690514,0.0598413620567886,0.0197628458532055,0
33,0.000627641504842262,0.0915732631296214,0.0790513833900464,0
34,0.000208888362982511,0.119482956992192,0.0790513833900464,0
35,8.99310812920029e-05,0.193656698337014,0.118577075073682,0
36,8.99310812920029e-05,0.184440004142719,0.0790513833900464,0
37,8.70300787187333e-05,0.189194272454021,0.0592885375368409,0
38,0,0.126683603886272,0,0
39,8.70300787187333e-05,0.0303324353938549,0.0197628458532055,0
40,0,0.00424218864787426,0,0
41,0,0.000445718213929928,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
