"year","cgfs","ibts","all"
1992,1999.51522078035,751.98284196309,1375.74903137172
1993,452.534983409857,658.536748763967,555.535866086912
1994,1685.84084462332,651.164912611825,1168.50287861757
1995,1811.30056553612,883.612093075131,1347.45632930562
1996,977.488591284465,1131.70104688204,1054.59481908325
1997,922.177436316123,329.534423459587,625.855929887855
1998,615.349768736353,197.712035491198,406.530902113776
1999,653.91914323371,239.741867626655,446.830505430182
2000,193.182745479552,651.289094030612,422.235919755082
2001,719.308976768498,313.853197647386,516.581087207942
2002,262.043132826573,587.922343224959,424.982738025766
2003,258.994964928678,317.723915243655,288.359440086167
2004,491.258812043507,210.691317723143,350.975064883325
2005,913.131700616413,403.373998951414,658.252849783913
2006,1131.99773478164,261.244567768136,696.62115127489
2007,646.57805737058,42.5627473058508,344.570402338215
2008,167.178520432018,158.27688307733,162.727701754674
2009,140.227307343709,56.1226664009073,98.1749868723083
2010,288.977088365413,101.763974194001,195.370531279707
2011,338.782647493871,113.621846314864,226.202246904367
2012,99.8766450514593,205.240460784149,152.558552917804
2013,288.176563678182,81.2689372901714,184.722750484177
2014,601.888040571546,47.6859366273715,324.786988599459
2015,731.796329907414,133.793791735411,432.795060821412
2016,689.159846813417,185.859623719688,437.509735266553
2017,118.543247785126,150.198968218189,134.371108001658
2018,163.960465274999,55.8282679799268,109.894366627463
2019,156.350721500725,234.143177575669,195.246949538197
