year;country;TAC;advice_TAC;buffer;cap
2000;all;51000;;;no advice
2001;all;51000;;;no advice
2002;all;27264;18000;;no advice
2003;all;32028;18000;;no advice
2004;all;35435;18000;;no advice
2005;all;30911;18000;;no advice
2006;all;34318;18000;;no advice
2007;all;41242;18000;;no advice
2008;all;35704;18000;;no advice
2009;all;46919;18000;;no advice
2010;Belgium;48;;;no advice
2010;Denmark;20875;;;no advice
2010;Germany;1843;;;no advice
2010;Spain;388;;;no advice
2010;France;1732;;;no advice
2010;Ireland;1313;;;no advice
2010;Netherlands;12568;;;no advice
2010;Portugal;44;;;no advice
2010;Sweden;75;;;no advice
2010;UK;4968;;;no advice
2010;Norway;3600;;;no advice
2010;all;47454;18000;;no advice
2011;Belgium;47;;;no advice
2011;Denmark;20447;;;no advice
2011;Germany;1805;;;no advice
2011;Spain;380;;;no advice
2011;France;1696;;;no advice
2011;Ireland;1286;;;no advice
2011;Netherlands;12310;;;no advice
2011;Portugal;43;;;no advice
2011;Sweden;75;;;no advice
2011;UK;4866;;;no advice
2011;Norway;3550;;;no advice
2011;all;46505;;;no advice
2012;Belgium;44;;;no advice
2012;Denmark;19339;;;no advice
2012;Germany;1708;;;no advice
2012;Spain;359;;;no advice
2012;France;1604;;;no advice
2012;Ireland;1216;;;no advice
2012;Netherlands;11642;;;no advice
2012;Portugal;41;;;no advice
2012;Sweden;75;;;no advice
2012;UK;4602;;;no advice
2012;Norway;3550;;;no advice
2012;all;44180;;;no advice
2013;Belgium;37;;;no advice
2013;Denmark;16198;;;no advice
2013;Germany;1430;;;no advice
2013;Spain;301;;;no advice
2013;France;1344;;;no advice
2013;Ireland;1019;;;no advice
2013;Netherlands;9752;;;no advice
2013;Portugal;34;;;no advice
2013;Sweden;75;;;no advice
2013;UK;3855;;;no advice
2013;all;37950;25500;;no advice
2014;Belgium;31;;;no advice
2014;Denmark;13397;;;no advice
2014;Germany;1183;;;no advice
2014;Spain;249;;;no advice
2014;France;1111;;;no advice
2014;Ireland;843;;;no advice
2014;Netherlands;8065;;;no advice
2014;Portugal;28;;;no advice
2014;Sweden;75;;;no advice
2014;UK;3188;;;no advice
2014;Norway;3550;;;no advice
2014;all;31720;25500;1;down
2015;Belgium;13;;;no advice
2015;Denmark;5519;;;no advice
2015;Germany;487;;;no advice
2015;Spain;102;;;no advice
2015;France;458;;;no advice
2015;Ireland;347;;;no advice
2015;Netherlands;3323;;;no advice
2015;Portugal;12;;;no advice
2015;Sweden;75;;;no advice
2015;UK;1314;;;no advice
2015;Norway;3550;;;no advice
2015;all;15200;15200;;no advice
2016;Belgium;13;;;no advice
2016;Denmark;5519;;;no advice
2016;Germany;487;;;no advice
2016;Spain;102;;;no advice
2016;France;458;;;no advice
2016;Ireland;347;;;no advice
2016;Netherlands;3323;;;no advice
2016;Portugal;12;;;no advice
2016;Sweden;75;;;no advice
2016;UK;1314;;;no advice
2016;Norway;3550;;;no advice
2016;all;15200;15200;;no advice
2017;Belgium;16;;;no advice
2017;Denmark;6973;;;no advice
2017;Germany;616;;;no advice
2017;Spain;129;;;no advice
2017;France;578;;;no advice
2017;Ireland;438;;;no advice
2017;Netherlands;4198;;;no advice
2017;Portugal;15;;;no advice
2017;Sweden;75;;;no advice
2017;UK;1659;;;no advice
2017;Norway;3550;;;no advice
2017;all;18247;18247;1;up
2018;Belgium;14;;;no advice
2018;Denmark;5985;;;no advice
2018;Germany;529;;;no advice
2018;Spain;111;;;no advice
2018;France;497;;;no advice
2018;Ireland;376;;;no advice
2018;Netherlands;3604;;;no advice
2018;Portugal;13;;;no advice
2018;Sweden;75;;;no advice
2018;UK;1425;;;no advice
2018;Norway;2550;;;no advice
2018;all;15179;17517;0;no advice
2019;Belgium;14;;;no advice
2019;Denmark;5985;;;no advice
2019;Germany;529;;;no advice
2019;Spain;111;;;no advice
2019;France;497;;;no advice
2019;Ireland;376;;;no advice
2019;Netherlands;3604;;;no advice
2019;Portugal;13;;;no advice
2019;Sweden;75;;;no advice
2019;UK;1425;;;no advice
2019;Norway;2550;;;no advice
2019;all;15179;17517;0;down
2020;Belgium;12;;;no advice
2020;Denmark;5311;;;no advice
2020;Germany;469;;;no advice
2020;Spain;99;;;no advice
2020;France;441;;;no advice
2020;Ireland;334;;;no advice
2020;Netherlands;3197;;;no advice
2020;Portugal;11;;;no advice
2020;Sweden;75;;;no advice
2020;UK;1264;;;no advice
2020;Norway;2550;;;no advice
2020;all;13763;14014;0;no advice
2021;Belgium;3;;;no advice
2021;Denmark;1328;;;no advice
2021;Germany;117;;;no advice
2021;Spain;25;;;no advice
2021;France;110;;;no advice
2021;Ireland;84;;;no advice
2021;Netherlands;799;;;no advice
2021;Portugal;3;;;no advice
2021;Sweden;19;;;no advice
2021;UK;316;;;no advice
2021;Norway;638;;;no advice
2021;all;14014;14014;1;down
