length_class;country;area;quarter;value;year
19;UK;27.4.c;Q3;89.89852112;2020
20;UK;27.4.c;Q3;572.2549729;2020
21;UK;27.4.c;Q3;596.4258017;2020
22;UK;27.4.c;Q3;506.5272805;2020
23;UK;27.4.c;Q3;245.5247346;2020
24;UK;27.4.c;Q3;126.5788139;2020
25;UK;27.4.c;Q3;79.72133005;2020
18;UK;27.4.c;Q4;32.1946787;2020
19;UK;27.4.c;Q4;40.20330524;2020
20;UK;27.4.c;Q4;72.39798394;2020
21;UK;27.4.c;Q4;827.1309493;2020
22;UK;27.4.c;Q4;726.5425999;2020
23;UK;27.4.c;Q4;759.2177962;2020
24;UK;27.4.c;Q4;436.4701466;2020
25;UK;27.4.c;Q4;201.6572163;2020
26;UK;27.4.c;Q4;242.3410392;2020
27;UK;27.4.c;Q4;68.87418826;2020
28;UK;27.4.c;Q4;40.20330524;2020
18;UK;27.7.d;Q3;24.42520366;2020
19;UK;27.7.d;Q3;129.8659237;2020
20;UK;27.7.d;Q3;571.570045;2020
21;UK;27.7.d;Q3;1366.594651;2020
22;UK;27.7.d;Q3;821.8495188;2020
23;UK;27.7.d;Q3;342.2908384;2020
24;UK;27.7.d;Q3;487.5802418;2020
25;UK;27.7.d;Q3;416.0846964;2020
26;UK;27.7.d;Q3;265.7104643;2020
27;UK;27.7.d;Q3;167.8406561;2020
28;UK;27.7.d;Q3;122.8470575;2020
29;UK;27.7.d;Q3;96.36764318;2020
30;UK;27.7.d;Q3;106.9841946;2020
31;UK;27.7.d;Q3;319.1499859;2020
32;UK;27.7.d;Q3;167.1008398;2020
33;UK;27.7.d;Q3;129.6969302;2020
34;UK;27.7.d;Q3;57.32261819;2020
35;UK;27.7.d;Q3;54.88911082;2020
36;UK;27.7.d;Q3;0;2020
37;UK;27.7.d;Q3;0;2020
38;UK;27.7.d;Q3;119.8356337;2020
17;UK;27.7.d;Q4;105.8843423;2020
18;UK;27.7.d;Q4;543.0299002;2020
19;UK;27.7.d;Q4;953.1592248;2020
20;UK;27.7.d;Q4;3966.650959;2020
21;UK;27.7.d;Q4;7215.580883;2020
22;UK;27.7.d;Q4;4759.360038;2020
23;UK;27.7.d;Q4;3307.241572;2020
24;UK;27.7.d;Q4;3805.88215;2020
25;UK;27.7.d;Q4;1508.27467;2020
26;UK;27.7.d;Q4;1508.64093;2020
27;UK;27.7.d;Q4;515.106035;2020
28;UK;27.7.d;Q4;443.3388419;2020
29;UK;27.7.d;Q4;25.28680367;2020
30;UK;27.7.d;Q4;66.47104601;2020
31;UK;27.7.d;Q4;69.63633392;2020
20;Netherlands;27.7.d;Q3;2833.232143;2020
21;Netherlands;27.7.d;Q3;7791.388393;2020
22;Netherlands;27.7.d;Q3;4958.15625;2020
23;Netherlands;27.7.d;Q3;2124.924107;2020
18;Netherlands;27.7.d;Q4;123.1173601;2020
19;Netherlands;27.7.d;Q4;527.6425169;2020
20;Netherlands;27.7.d;Q4;1352.790718;2020
21;Netherlands;27.7.d;Q4;3735.95588;2020
22;Netherlands;27.7.d;Q4;4549.082337;2020
23;Netherlands;27.7.d;Q4;1988.400092;2020
24;Netherlands;27.7.d;Q4;4013.99728;2020
25;Netherlands;27.7.d;Q4;3091.397363;2020
26;Netherlands;27.7.d;Q4;1104.691771;2020
27;Netherlands;27.7.d;Q4;392.9158422;2020
28;Netherlands;27.7.d;Q4;347.4395863;2020
29;Netherlands;27.7.d;Q4;37.2829972;2020
30;Netherlands;27.7.d;Q4;37.2829972;2020
