Age,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,19.2,19.2,19.2,19.2,19.2,19.1,19.5,19.4,20.3,19.8,18.1,20.1,19.9,20,20.3,20.8,19.2,19.9,20.9,20.4,19.8,20,19.1,19.51
2,22,22,22,22,22,21.5,21.5,21.7,22.3,22.2,21.5,22,20.8,21.6,21.6,22.6,21.7,21.7,22.4,22.9,22.9,22,21.3,22.19
3,23.5,23.5,23.5,23.5,23.5,23.9,21.9,23.8,23.7,23.6,22.9,23.4,22.6,23.2,23.2,23.9,23,23.5,23.5,23.5,24.6,23.6,23.3,24.67
4,24.8,24.8,24.8,24.8,24.8,24.9,23.4,25.4,24.6,25.2,24.7,24.1,23.6,24.1,24.6,25,24.5,25,25.3,24.8,25.8,24.8,24.1,25.58
5,25.5,25.5,25.5,25.5,25.5,26,26.7,26.3,26.2,26.6,25.9,25.4,24.4,25.6,25.8,25.7,25.9,25.7,27,25.4,26.6,26.4,26.7,26.78
6,26.4,26.4,26.4,26.4,26.4,27.6,27.5,27.4,27.3,27.5,27.7,27,26.6,26.3,27.2,27.1,27.6,27,27.1,27.3,28.2,26.1,27.5,27.5
7,27.2,27.2,27.2,27.2,27.2,28.1,28.1,28.6,28.2,28.8,29.8,28.6,27.9,28.1,28.1,28.3,27.7,27.1,28.3,27.5,30.4,27.5,27.5,28.04
8,29.2,29.2,29.2,29.2,29.2,28.6,28.5,29.3,29,29.2,30.4,29.8,28.1,28.8,30.6,28.4,27.8,27.1,28.9,28,31.7,30.2,28,NA
9,29.5,29.5,29.5,29.5,29.5,29.9,29.8,29.4,29.9,30.4,30.8,30.8,30.1,31.2,31.1,30.2,31.9,28.6,29.2,28.8,30.5,30.5,29.1,NA
10,29.5,29.5,29.5,29.5,29.5,31.2,30.2,30.3,30.9,31.4,31.8,31.5,31,31.8,32.5,30,32.5,28,29.5,29.2,32.5,34.7,29.5,NA
11,30.6,30.6,30.6,30.6,30.6,31.5,30.7,31.4,30.7,31.9,33.8,31.2,39.5,31.6,35,32.2,33.2,30.1,30,30.7,31.5,35.2,31.1,NA
12,32.1,32.1,32.1,32.1,32.1,33.6,32,31.6,31.9,31.7,35.6,30.8,31.5,32.2,35.3,30.8,34.6,27.5,30.4,30.6,32.3,35.5,NA,NA
13,33.3,33.3,33.3,33.3,33.3,33.3,31.7,32.4,32.8,31.9,34,32.1,33.4,33.9,34,31.8,36.4,NA,32.1,30,32.5,31.5,NA,NA
14,31.1,31.1,31.1,31.1,31.1,NA,32.1,32.4,32.6,33,34.4,32.5,34.5,32.3,34.2,33,36,27.5,38.5,36,30.5,36.1,30.5,NA
15,32.5,32.5,32.5,32.5,32.5,33.8,33.4,34.3,33.6,34.8,35.2,35.3,NA,35.1,36.1,34.5,36.9,NA,34.2,32.5,NA,36.1,31.5,NA
